,token_delta,eth_delta,UNI_delta,logIndex,timestamp,event,token_balance,eth_balance,UNI_supply
0,10205247.626792269,7834.884722442777,282766.57992043573,,2021-05-13 01:00:00,,10205247.626792269,7834.884722442777,282766.57992043573
1,832.841502637793,-0.6374281612394722,0.0,216.0,2021-05-13 01:26:35,ethPurchase,10206080.468294907,7834.2472942815375,282766.57992043573
2,37245.66817846083,-28.400889455213193,0.0,193.0,2021-05-13 01:28:03,ethPurchase,10243326.136473369,7805.846404826324,282766.57992043573
3,800632.5749066185,610.1157791089647,21263.84473486161,232.0,2021-05-13 02:01:11,mint,11043958.711379988,8415.96218393529,304030.42465529736
4,15566.04730477586,-11.809802864016852,0.0,22.0,2021-05-13 02:03:20,ethPurchase,11059524.758684764,8404.152381071273,304030.42465529736
5,35340.9,-26.69001291358448,0.0,68.0,2021-05-13 02:03:55,ethPurchase,11094865.658684764,8377.462368157689,304030.42465529736
6,-22462.09007894464,17.04612172,0.0,231.0,2021-05-13 03:12:48,tokenPurchase,11072403.56860582,8394.50848987769,304030.42465529736
7,-32757.89092527116,24.983939072000005,0.0,195.0,2021-05-13 03:31:47,tokenPurchase,11039645.677680548,8419.49242894969,304030.42465529736
8,-18252.503565369556,13.985458176,0.0,3.0,2021-05-13 03:45:14,tokenPurchase,11021393.17411518,8433.47788712569,304030.42465529736
9,-31182.125984006085,24.0,0.0,16.0,2021-05-13 03:45:14,tokenPurchase,10990211.048131173,8457.47788712569,304030.42465529736
10,7151.662991071048,-5.483468695191894,0.0,165.0,2021-05-13 03:45:23,ethPurchase,10997362.711122245,8451.994418430497,304030.42465529736
11,13722.70260909259,-10.501842573761333,0.0,278.0,2021-05-13 04:01:00,ethPurchase,11011085.413731337,8441.492575856735,304030.42465529736
12,3353.9129176090196,-2.5627378615985417,0.0,18.0,2021-05-13 04:52:27,ethPurchase,11014439.326648945,8438.929837995136,304030.42465529736
13,-25007.49334041802,-19.15998404143232,-665.9491633414214,30.0,2021-05-13 05:12:53,burn,10989431.833308527,8419.769853953703,303364.47549195593
14,-25000.0,19.255683508850304,0.0,245.0,2021-05-13 05:15:30,tokenPurchase,10964431.833308527,8439.025537462554,303364.47549195593
15,12048.941745790458,-9.235803262755022,0.0,169.0,2021-05-13 05:16:03,ethPurchase,10976480.775054317,8429.7897341998,303364.47549195593
16,9801.01313009312,-7.497790469531678,0.0,410.0,2021-05-13 05:26:37,ethPurchase,10986281.78818441,8422.291943730268,303364.47549195593
17,607.1625136286642,-0.4640403407507172,0.0,334.0,2021-05-13 05:40:59,ethPurchase,10986888.950698039,8421.827903389518,303364.47549195593
18,11163.681265551686,-8.523039047172476,0.0,233.0,2021-05-13 05:44:50,ethPurchase,10998052.63196359,8413.304864342344,303364.47549195593
19,26981.039868126085,-20.52786260354832,0.0,83.0,2021-05-13 05:47:30,ethPurchase,11025033.671831716,8392.777001738796,303364.47549195593
20,4000.0,-3.0347564524619806,0.0,169.0,2021-05-13 06:45:36,ethPurchase,11029033.671831716,8389.742245286334,303364.47549195593
21,20430.351147507507,-15.466099671992742,0.0,25.0,2021-05-13 06:51:56,ethPurchase,11049464.022979224,8374.276145614342,303364.47549195593
22,14796.30605092306,11.213969523568366,391.884646628737,31.0,2021-05-13 06:51:56,mint,11064260.329030147,8385.49011513791,303756.3601385847
23,-9713.482043011943,7.390388858596852,0.0,279.0,2021-05-13 08:11:18,tokenPurchase,11054546.846987136,8392.880503996508,303756.3601385847
24,-53920.3453562519,41.26208097934723,0.0,3.0,2021-05-13 08:21:31,tokenPurchase,11000626.501630884,8434.142584975856,303756.3601385847
25,-70048.1806172829,54.21250806109014,0.0,15.0,2021-05-13 08:21:31,tokenPurchase,10930578.321013601,8488.355093036946,303756.3601385847
26,53920.3453562519,-41.54296767673809,0.0,21.0,2021-05-13 08:21:31,ethPurchase,10984498.666369854,8446.812125360208,303756.3601385847
27,-17063.948155926057,13.181721790377484,0.0,240.0,2021-05-13 08:44:38,tokenPurchase,10967434.718213927,8459.993847150585,303756.3601385847
28,-10575.610233519054,8.190195115488406,0.0,105.0,2021-05-13 08:55:32,tokenPurchase,10956859.107980408,8468.184042266073,303756.3601385847
29,-9597.160197203531,7.44616,0.0,287.0,2021-05-13 08:58:36,tokenPurchase,10947261.947783204,8475.630202266073,303756.3601385847
30,-93531.12358532076,73.2578125,0.0,10.0,2021-05-13 09:08:42,tokenPurchase,10853730.824197883,8548.888014766073,303756.3601385847
31,41355.38032613201,-32.35274094516747,0.0,28.0,2021-05-13 09:08:47,ethPurchase,10895086.204524014,8516.535273820906,303756.3601385847
32,-1256.3138902017843,-0.9820428549204028,-33.79051566270406,94.0,2021-05-13 09:12:12,burn,10893829.890633812,8515.553230965985,303722.569622922
33,-31793.150533367272,25.0,0.0,186.0,2021-05-13 09:22:17,tokenPurchase,10862036.740100445,8540.553230965985,303722.569622922
34,-27972.942325079548,22.11758,0.0,276.0,2021-05-13 09:43:54,tokenPurchase,10834063.797775365,8562.670810965985,303722.569622922
35,-23564.30301927686,18.72073638,0.0,73.0,2021-05-13 09:50:21,tokenPurchase,10810499.494756088,8581.391547345986,303722.569622922
36,-64063.269138167925,51.310611568877235,0.0,60.0,2021-05-13 09:54:14,tokenPurchase,10746436.22561792,8632.702158914863,303722.569622922
37,9523.01979255877,-7.620239271554018,0.0,125.0,2021-05-13 10:01:37,ethPurchase,10755959.245410478,8625.08191964331,303722.569622922
38,10133.791258684201,-8.094190826806148,0.0,65.0,2021-05-13 10:04:11,ethPurchase,10766093.036669161,8616.987728816503,303722.569622922
39,20581.600546083264,-16.392480838106952,0.0,9.0,2021-05-13 10:07:35,ethPurchase,10786674.637215244,8600.595247978395,303722.569622922
40,4775.719108187964,-3.794750288625187,0.0,62.0,2021-05-13 10:12:21,ethPurchase,10791450.356323432,8596.80049768977,303722.569622922
41,23498.70067214061,-18.623195773710144,0.0,166.0,2021-05-13 10:16:33,ethPurchase,10814949.056995573,8578.17730191606,303722.569622922
42,-21570.849022161106,17.19529789,0.0,71.0,2021-05-13 10:31:57,tokenPurchase,10793378.207973411,8595.37259980606,303722.569622922
43,-20673.133954919347,16.5444029,0.0,307.0,2021-05-13 10:44:41,tokenPurchase,10772705.074018491,8611.917002706059,303722.569622922
44,-16604.810453710477,13.334715609999998,0.0,197.0,2021-05-13 10:52:29,tokenPurchase,10756100.26356478,8625.25171831606,303722.569622922
45,-21094.75922964699,17.0,0.0,43.0,2021-05-13 10:53:05,tokenPurchase,10735005.504335133,8642.25171831606,303722.569622922
46,-21339.123882775308,17.26514458,0.0,163.0,2021-05-13 10:57:40,tokenPurchase,10713666.380452357,8659.51686289606,303722.569622922
47,-23385.36853901905,19.0,0.0,4.0,2021-05-13 10:58:50,tokenPurchase,10690281.011913339,8678.51686289606,303722.569622922
48,75696.29325,-60.837447423395666,0.0,176.0,2021-05-13 11:23:29,ethPurchase,10765977.305163339,8617.679415472665,303722.569622922
49,60383.77320575311,-47.92151053109556,0.0,238.0,2021-05-13 11:32:39,ethPurchase,10826361.078369092,8569.757904941569,303722.569622922
50,22872.34783032031,-18.012672460065083,0.0,95.0,2021-05-13 12:23:40,ethPurchase,10849233.426199412,8551.745232481504,303722.569622922
51,11739.845764973004,-9.2160530754667,0.0,140.0,2021-05-13 13:04:43,ethPurchase,10860973.271964384,8542.529179406038,303722.569622922
52,-1623.7188681251944,1.2811451506506075,0.0,28.0,2021-05-13 13:10:20,tokenPurchase,10859349.553096259,8543.810324556689,303722.569622922
53,17390.845914502068,-13.619801682823693,0.0,283.0,2021-05-13 13:59:02,ethPurchase,10876740.39901076,8530.190522873865,303722.569622922
54,12506.737078173843,-9.767907800299183,0.0,49.0,2021-05-13 14:07:32,ethPurchase,10889247.136088934,8520.422615073567,303722.569622922
55,18000.0,-14.01895999660818,0.0,247.0,2021-05-13 14:23:52,ethPurchase,10907247.136088934,8506.403655076958,303722.569622922
56,9394.616778744701,-7.298477572145003,0.0,10.0,2021-05-13 14:26:58,ethPurchase,10916641.752867678,8499.105177504813,303722.569622922
57,59475.0,-45.91569417907881,0.0,127.0,2021-05-13 14:35:55,ethPurchase,10976116.752867678,8453.189483325734,303722.569622922
58,-19734.233988052725,15.27138875,0.0,70.0,2021-05-13 14:45:24,tokenPurchase,10956382.518879626,8468.460872075733,303722.569622922
59,-30322.10894703494,23.572472261866757,0.0,258.0,2021-05-13 14:52:47,tokenPurchase,10926060.409932591,8492.0333443376,303722.569622922
60,-27219.49478294523,21.272389632000007,0.0,50.0,2021-05-13 15:03:02,tokenPurchase,10898840.915149646,8513.3057339696,303722.569622922
61,-5662.434914378748,-4.423042780430228,-152.22996832023338,340.0,2021-05-13 15:42:34,burn,10893178.480235267,8508.88269118917,303570.33965460176
62,-17337.50986587997,13.605084721511938,0.0,3.0,2021-05-13 15:44:00,tokenPurchase,10875840.970369387,8522.487775910682,303570.33965460176
63,-74761.16154872226,-58.58407521291924,-2013.0972009836116,19.0,2021-05-13 15:47:51,burn,10801079.808820665,8463.903700697763,301557.24245361815
64,-25386.31532900242,20.0,0.0,27.0,2021-05-13 15:47:51,tokenPurchase,10775693.493491663,8483.903700697763,301557.24245361815
65,-14369.59636437059,11.362644991580046,0.0,150.0,2021-05-13 15:59:41,tokenPurchase,10761323.897127291,8495.266345689342,301557.24245361815
66,25754.423884345775,-20.221961343866813,0.0,114.0,2021-05-13 16:16:27,ethPurchase,10787078.321011636,8475.044384345476,301557.24245361815
67,10000.0,-7.825860364771193,0.0,13.0,2021-05-13 16:24:50,ethPurchase,10797078.321011636,8467.218523980704,301557.24245361815
68,-14610.07109760104,11.50746735,0.0,362.0,2021-05-13 16:46:54,tokenPurchase,10782468.249914035,8478.725991330704,301557.24245361815
