Date,Price
7/16/20,233.640884
7/17/20,232.773087
7/18/20,235.48381
7/19/20,238.487518
7/20/20,236.153168
7/21/20,245.016724
7/22/20,262.190643
7/23/20,274.689056
7/24/20,279.215424
7/25/20,304.056763
7/26/20,309.643616
7/27/20,321.514099
7/28/20,316.657257
7/29/20,318.190887
7/30/20,334.586639
7/31/20,345.554657
8/1/20,385.199707
8/2/20,370.671722
8/3/20,386.295166
8/4/20,389.875488
8/5/20,401.590576
8/6/20,394.961945
8/7/20,379.512848
8/8/20,393.987366
8/9/20,391.120453
8/10/20,395.887573
8/11/20,380.384064
8/12/20,391.02417
8/13/20,428.741791
8/14/20,437.397827
8/15/20,433.354919
8/16/20,433.786621
8/17/20,429.53125
8/18/20,423.669312
8/19/20,406.463776
8/20/20,416.439789
8/21/20,389.126343
8/22/20,395.835144
8/23/20,391.384491
8/24/20,408.144196
8/25/20,384.001038
8/26/20,386.466125
8/27/20,382.632629
8/28/20,395.874664
8/29/20,399.921478
8/30/20,428.395721
8/31/20,435.079742
9/1/20,477.05191
9/2/20,440.040497
9/3/20,385.671936
9/4/20,388.24115
9/5/20,335.260071
9/6/20,353.362274
9/7/20,352.673492
9/8/20,337.602112
9/9/20,351.110016
9/10/20,368.101898
9/11/20,374.695587
9/12/20,387.183105
9/13/20,365.570007
9/14/20,377.26886
9/15/20,364.839203
9/16/20,365.812286
9/17/20,389.019226
9/18/20,384.364532
9/19/20,385.544373
9/20/20,371.052826
9/21/20,341.786072
9/22/20,344.503174
9/23/20,320.585541
9/24/20,349.356659
9/25/20,352.161865
9/26/20,354.965271
9/27/20,357.321686
9/28/20,354.9505
9/29/20,359.963409
9/30/20,360.022369
10/1/20,353.231293
10/2/20,346.532654
10/3/20,347.321594
10/4/20,353.121918
10/5/20,354.2771
10/6/20,341.021149
10/7/20,342.119781
10/8/20,351.455658
10/9/20,null
10/10/20,370.96759
10/11/20,375.142059
10/12/20,null
10/13/20,null
10/14/20,379.484039
10/15/20,377.441833
10/16/20,366.229004
10/17/20,368.855927
10/18/20,378.213684
10/19/20,379.935608
10/20/20,369.136902
10/21/20,392.189972
10/22/20,413.77298
10/23/20,409.766693
10/24/20,412.457611
10/25/20,406.217773
10/26/20,393.888306
10/27/20,403.99704
10/28/20,388.650757
10/29/20,386.730103
10/30/20,382.819977
10/31/20,386.590332
11/1/20,396.358185
11/2/20,383.156738
11/3/20,387.602173
11/4/20,402.141998
11/5/20,414.067352
11/6/20,454.719299
11/7/20,435.713135
11/8/20,453.554779
11/9/20,444.163055
11/10/20,449.679626
11/11/20,462.960541
11/12/20,461.00528
11/13/20,474.626434
11/14/20,460.149841
11/15/20,447.559082
11/16/20,459.940308
11/17/20,480.360077
11/18/20,479.48407
11/19/20,471.630432
11/20/20,509.744568
11/21/20,549.486633
11/22/20,558.068115
11/23/20,608.454041
11/24/20,603.897766
11/25/20,570.686646
11/26/20,518.801147
11/27/20,517.493713
11/28/20,538.229797
11/29/20,575.758057
11/30/20,614.842529
12/1/20,587.324158
12/2/20,598.352356
12/3/20,616.70874
12/4/20,569.354187
12/5/20,596.595459
12/6/20,601.908997
12/7/20,591.843384
12/8/20,554.827759
12/9/20,573.479126
12/10/20,559.678528
12/11/20,545.797363
12/12/20,568.567322
12/13/20,589.663208
12/14/20,586.011169
12/15/20,589.355591
12/16/20,636.181824
12/17/20,642.868958
12/18/20,654.811951
12/19/20,659.297913
12/20/20,638.290833
12/21/20,609.817871
12/22/20,634.854187
12/23/20,583.7146
12/24/20,611.607178
12/25/20,626.410706
12/26/20,635.835815
12/27/20,682.642334
12/28/20,730.397339
12/29/20,731.520142
12/30/20,751.618958
12/31/20,737.803406
1/1/21,730.367554
1/2/21,774.534973
1/3/21,975.50769
1/4/21,1040.233032
1/5/21,1100.006104
1/6/21,1207.112183
1/7/21,1225.678101
1/8/21,1224.197144
1/9/21,1281.077271
1/10/21,1262.246704
1/11/21,1090.145386
1/12/21,1043.43457
1/13/21,1130.73938
1/14/21,1218.453003
1/15/21,1171.834595
1/16/21,1233.537598
1/17/21,1230.172241
1/18/21,1257.279541
1/19/21,1377.295898
1/20/21,1382.274048
1/21/21,1121.570923
1/22/21,1236.512207
1/23/21,1230.990601
1/24/21,1391.609375
1/25/21,1324.414795
1/26/21,1357.058105
1/27/21,1253.187134
1/28/21,1298.101807
1/29/21,1382.522827
1/30/21,1376.115479
1/31/21,1314.986206
2/1/21,1369.040527
2/2/21,1515.193726
2/3/21,1660.909546
2/4/21,1594.762695
2/5/21,1718.650879
2/6/21,1677.846802
2/7/21,1614.227783
2/8/21,1746.616821
2/9/21,1768.035034
2/10/21,1744.243408
2/11/21,1783.797974
2/12/21,1843.532593
2/13/21,1814.109863
2/14/21,1805.084106
2/15/21,1779.791016
2/16/21,1781.067505
2/17/21,1848.458252
2/18/21,1937.449219
2/19/21,1960.164795
2/20/21,1919.534058
2/21/21,1935.601074
2/22/21,1781.99292
2/23/21,1570.203979
2/24/21,1626.575684
2/25/21,1475.703735
2/26/21,1446.033691
2/27/21,1459.973145
2/28/21,1416.04895
3/1/21,1564.707642
3/2/21,1492.608765
3/3/21,1575.853149
3/4/21,1541.914307
3/5/21,1533.275024
3/6/21,1654.741577
3/7/21,1723.153809
3/8/21,1834.727905
3/9/21,1868.048828
3/10/21,1799.16626
3/11/21,1826.194946
3/12/21,1772.102417
3/13/21,1924.685425
3/14/21,1854.564331
3/15/21,1791.702271
3/16/21,1806.971802
3/17/21,1823.449341
3/18/21,1782.855103
3/19/21,1817.624146
3/20/21,1812.634644
3/21/21,1788.217041
3/22/21,1691.333984
3/23/21,1678.650146
3/24/21,1593.413452
3/25/21,1595.359253
3/26/21,1702.842041
3/27/21,1716.494629
3/28/21,1691.355957
3/29/21,1819.684937
3/30/21,1846.033691
3/31/21,1918.362061
4/1/21,1977.276855
4/2/21,2143.225586
4/3/21,2028.422485
4/4/21,2093.122803
4/5/21,2107.887207
4/6/21,2118.378906
4/7/21,1971.077271
4/8/21,2088.57373
4/9/21,2072.108887
4/10/21,2135.942139
4/11/21,2157.656982
4/12/21,2139.353271
4/13/21,2299.187744
4/14/21,2435.10498
4/15/21,2519.116211
4/16/21,2431.946533
4/17/21,2344.89502
4/18/21,2237.136963
4/19/21,2166.188721
4/20/21,2330.210938
4/21/21,2364.751709
4/22/21,2403.535156
4/23/21,2363.586182
4/24/21,2211.625732
4/25/21,2316.05957
4/26/21,2534.481689
4/27/21,2662.865234
4/28/21,2746.380127
4/29/21,2756.876953
4/30/21,2773.207031
5/1/21,2945.892822
5/2/21,2952.056152
5/3/21,3431.086182
5/4/21,3253.629395
5/5/21,3522.783203
5/6/21,3490.880371
5/7/21,3484.729004
5/8/21,3902.647705
5/9/21,3928.844727
5/10/21,3952.293945
5/11/21,4168.701172
5/12/21,3785.848633
5/13/21,3715.148438
5/14/21,4079.057373
5/15/21,3638.12207
5/16/21,3587.506104
5/17/21,3282.397705
5/18/21,3380.070068
5/19/21,2460.679199
5/20/21,2784.294189
5/21/21,2430.621338
5/22/21,2295.705566
5/23/21,2109.579834
5/24/21,2643.591064
5/25/21,2706.628906
5/26/21,2888.69873
5/27/21,2736.488525
5/28/21,2419.90625
5/29/21,2279.51416
5/30/21,2390.30542
5/31/21,2714.945313
6/1/21,2633.518311
6/2/21,2706.125
6/3/21,2855.126465
6/4/21,2688.195068
6/5/21,2630.576904
6/6/21,2715.092773
6/7/21,2590.263184
6/8/21,2517.438721
6/9/21,2608.26709
6/10/21,2471.518555
6/11/21,2353.768799
6/12/21,2372.484375
6/13/21,2508.391602
6/14/21,2537.891113
6/15/21,2610.936768
6/16/21,2367.663574
6/17/21,2372.001953
6/18/21,2231.733154
6/19/21,2178.499023
6/20/21,2246.364502
6/21/21,1888.44751
6/22/21,1874.950073
6/23/21,1989.736328
6/24/21,1988.456299
6/25/21,1813.217285
6/26/21,1829.239258
6/27/21,1978.894653
6/28/21,2079.657471
6/29/21,2160.768311
6/30/21,2274.547607
7/1/21,2113.605469
7/2/21,2150.040283
7/3/21,2226.114258
7/4/21,2321.724121
7/5/21,2198.58252
7/6/21,2324.679443
7/7/21,2315.161865
7/8/21,2120.026367
7/9/21,2146.692383
7/10/21,2111.403564
7/11/21,2139.664795
7/12/21,2036.721069
7/13/21,1940.083984
7/14/21,1994.331299
7/15/21,1911.175659
7/16/21,1903.598755
